index	Model	Accuracy	AUC	Recall	Prec.	F1	Kappa	MCC	TT (Sec)
catboost	CatBoost Classifier	0.9114	0.7235	0.55	0.5	0.5033	0.4581	0.4704	2.265
dummy	Dummy Classifier	0.9114	0.5	0.0	0.0	0.0	0.0	0.0	0.005
rf	Random Forest Classifier	0.8938	0.754	0.45	0.35	0.37	0.3156	0.3326	0.079
et	Extra Trees Classifier	0.8938	0.8065	0.55	0.4333	0.46	0.4056	0.4229	0.068
ada	Ada Boost Classifier	0.8761	0.7448	0.55	0.3583	0.42	0.3581	0.3758	0.019
xgboost	Extreme Gradient Boosting	0.8761	0.714	0.55	0.4	0.43	0.3653	0.3899	0.061
lightgbm	Light Gradient Boosting Machine	0.8761	0.7131	0.55	0.3583	0.4	0.3354	0.3654	0.013
gbc	Gradient Boosting Classifier	0.8643	0.6415	0.45	0.3083	0.34	0.2685	0.2899	0.019
dt	Decision Tree Classifier	0.8585	0.6646	0.45	0.2983	0.3305	0.2565	0.2806	0.004
lr	Logistic Regression	0.7934	0.8154	0.75	0.2733	0.3936	0.2995	0.3561	0.384
ridge	Ridge Classifier	0.7816	0.0	0.75	0.266	0.3841	0.2877	0.3451	0.004
knn	K Neighbors Classifier	0.7699	0.69	0.45	0.1917	0.2586	0.1513	0.173	0.176
lda	Linear Discriminant Analysis	0.7699	0.8221	0.75	0.266	0.3841	0.2849	0.3384	0.005
svm	SVM - Linear Kernel	0.764	0.0	0.75	0.2603	0.3782	0.2788	0.3317	0.004
qda	Quadratic Discriminant Analysis	0.557	0.6221	0.7	0.1258	0.2109	0.0723	0.1223	0.005
nb	Naive Bayes	0.5217	0.6242	0.75	0.1222	0.2088	0.0674	0.1274	0.004
