index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
rf	Random Forest Regressor	17.14	582.2685	24.1302	0.4314	0.6635	1.4364	1.27
lightgbm	Light Gradient Boosting Machine	18.8876	617.3961	24.8475	0.3971	0.7147	1.8726	0.31
et	Extra Trees Regressor	17.3786	640.6823	25.3117	0.3744	0.6935	1.2416	1.04
gbr	Gradient Boosting Regressor	22.4614	782.3687	27.9709	0.2361	0.8147	2.6545	1.44
ridge	Ridge Regression	23.5701	878.8942	29.6462	0.1418	0.8643	3.4285	0.03
lr	Linear Regression	23.5304	880.1932	29.668	0.1405	0.8611	3.4163	0.05
lasso	Lasso Regression	25.9875	998.6693	31.6017	0.0249	0.9041	4.2879	0.03
svm	Support Vector Regression	25.0055	1123.5559	33.5195	-0.0971	0.947	4.9144	13.82
