index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
et	Extra Trees Regressor	8.7229	190.9086	13.817	0.8123	0.4182	0.4605	0.5
lightgbm	Light Gradient Boosting Machine	11.7137	286.9142	16.9385	0.7179	0.4965	0.6216	0.18
rf	Random Forest Regressor	11.2737	296.6364	17.2231	0.7083	0.4827	0.5931	0.64
gbr	Gradient Boosting Regressor	15.5816	433.5485	20.8218	0.5737	0.6216	1.0152	0.49
ridge	Ridge Regression	19.4971	647.8542	25.453	0.3629	0.6838	1.2048	0.01
lr	Linear Regression	19.7102	656.6925	25.626	0.3542	0.6812	1.1961	0.01
lasso	Lasso Regression	23.2128	868.7155	29.474	0.1457	0.7533	1.4749	0.01
svm	Support Vector Regression	23.6115	1044.0496	32.3118	-0.0267	0.8203	1.7682	1.23
