index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
et	Extra Trees Regressor	8.3983	170.9502	13.0748	0.8263	0.3846	0.4407	0.46
rf	Random Forest Regressor	10.571	240.7187	15.5151	0.7554	0.4723	0.7823	0.61
lightgbm	Light Gradient Boosting Machine	11.2726	241.3208	15.5345	0.7548	0.4816	0.9037	0.2
gbr	Gradient Boosting Regressor	15.4042	404.398	20.1096	0.5891	0.6452	1.6208	0.43
ridge	Ridge Regression	20.4532	689.027	26.2493	0.3	0.7348	2.1006	0.0
svm	Support Vector Regression	19.9645	819.8557	28.6331	0.1671	0.8184	2.8019	0.93
lasso	Lasso Regression	22.8394	843.2852	29.0394	0.1433	0.8022	2.7054	0.01
lr	Linear Regression	13215.29	4677763072.0	68394.1719	-4752424.5969	1.9833	179.0662	0.01
