index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
rf	Random Forest Regressor	14.7955	455.5305	21.3432	0.5552	0.5867	1.2312	0.69
et	Extra Trees Regressor	15.1476	520.5132	22.8148	0.4917	0.6015	0.9881	0.6
lightgbm	Light Gradient Boosting Machine	17.3103	525.8546	22.9315	0.4865	0.6651	1.594	0.16
gbr	Gradient Boosting Regressor	21.5814	727.8055	26.9779	0.2893	0.7908	2.4336	0.63
ridge	Ridge Regression	25.2973	972.5635	31.186	0.0503	0.8935	3.7022	0.02
svm	Support Vector Regression	23.1123	973.1937	31.1961	0.0497	0.9129	4.3609	3.81
lasso	Lasso Regression	26.2831	1013.436	31.8345	0.0104	0.9062	4.3688	0.01
lr	Linear Regression	296.6781	2223069.0	1490.996	-2169.7015	1.276	61.6458	0.03
