index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
et	Extra Trees Regressor	8.5317	190.7286	13.8105	0.8124	0.399	0.4037	0.44
rf	Random Forest Regressor	9.4103	221.3058	14.8764	0.7824	0.4157	0.4557	0.56
lightgbm	Light Gradient Boosting Machine	10.7071	252.0137	15.8749	0.7522	0.4652	0.5564	0.17
gbr	Gradient Boosting Regressor	15.499	442.2033	21.0286	0.5652	0.6212	1.0141	0.35
ridge	Ridge Regression	21.0425	733.6756	27.0864	0.2785	0.7182	1.3043	0.01
svm	Support Vector Regression	20.4243	819.5906	28.6285	0.1941	0.7716	1.5768	0.89
lasso	Lasso Regression	24.178	896.7942	29.9465	0.1181	0.7639	1.5109	0.01
lr	Linear Regression	627.1134	14862384.0	3855.176	-14614.0228	1.2403	9.15	0.01
