index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
et	Extra Trees Regressor	8.3158	177.7848	13.3336	0.8252	0.3909	0.384	0.57
rf	Random Forest Regressor	9.0585	211.1381	14.5306	0.7924	0.4171	0.4592	0.63
lightgbm	Light Gradient Boosting Machine	10.589	242.2368	15.564	0.7618	0.4643	0.5551	0.14
gbr	Gradient Boosting Regressor	15.2188	430.3501	20.7449	0.5768	0.6226	1.022	0.48
ridge	Ridge Regression	18.933	628.3752	25.0674	0.3821	0.6825	1.2054	0.01
lr	Linear Regression	18.9931	629.6296	25.0924	0.3808	0.6808	1.2005	0.02
svm	Support Vector Regression	20.0788	798.5042	28.2578	0.2148	0.7657	1.56	1.65
lasso	Lasso Regression	23.7426	878.1069	29.6329	0.1365	0.7619	1.5143	0.01
