index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
et	Extra Trees Regressor	10.3563	265.0529	16.2804	0.7307	0.4668	0.7879	0.58
rf	Random Forest Regressor	11.4219	279.3674	16.7143	0.7162	0.503	0.9491	0.68
lightgbm	Light Gradient Boosting Machine	12.1713	287.5158	16.9563	0.7079	0.5398	1.322	0.22
gbr	Gradient Boosting Regressor	16.8686	488.3505	22.0987	0.5039	0.6837	1.779	0.41
ridge	Ridge Regression	20.7984	731.2796	27.0422	0.257	0.7528	2.3436	0.01
lr	Linear Regression	20.9532	740.1192	27.2051	0.2481	0.753	2.3244	0.02
lasso	Lasso Regression	23.3683	889.5211	29.8248	0.0963	0.8138	2.8492	0.01
svm	Support Vector Regression	22.4655	999.8763	31.6208	-0.0158	0.8534	3.0999	0.96
