index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
et	Extra Trees Regressor	9.6293	221.7216	14.8903	0.782	0.442	0.4898	0.47
lightgbm	Light Gradient Boosting Machine	11.1929	267.8554	16.3663	0.7366	0.4872	0.6102	0.19
rf	Random Forest Regressor	11.1818	274.1057	16.5561	0.7305	0.4812	0.6247	0.59
gbr	Gradient Boosting Regressor	15.9009	456.299	21.3612	0.5513	0.6236	1.0327	0.42
ridge	Ridge Regression	20.6525	722.2702	26.8751	0.2898	0.7025	1.3203	0.01
lr	Linear Regression	20.7435	726.4164	26.9521	0.2857	0.7019	1.3182	0.01
lasso	Lasso Regression	23.4423	885.808	29.7625	0.1289	0.7552	1.4743	0.01
svm	Support Vector Regression	23.2202	1019.6666	31.9322	-0.0027	0.8153	1.7498	0.87
