index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
rf	Random Forest Regressor	13.7869	412.3846	20.3073	0.5973	0.548	0.9865	1.12
et	Extra Trees Regressor	13.6247	446.4442	21.1292	0.5641	0.5544	0.7722	1.17
lightgbm	Light Gradient Boosting Machine	16.6531	491.597	22.172	0.52	0.6498	1.4333	0.18
gbr	Gradient Boosting Regressor	20.7354	666.8136	25.8227	0.3489	0.7774	2.2992	1.11
ridge	Ridge Regression	22.1508	779.0398	27.9113	0.2393	0.8248	2.9534	0.03
svm	Support Vector Regression	22.1409	901.3292	30.0221	0.1199	0.9003	4.2927	10.31
lasso	Lasso Regression	25.9164	990.1873	31.4672	0.0331	0.9027	4.3669	0.01
lr	Linear Regression	9784.3623	2372292096.0	48706.1797	-2316408.6361	1.9508	248.8822	0.03
