index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
et	Extra Trees Regressor	9.1789	203.5672	14.2677	0.7932	0.4177	0.5744	0.48
rf	Random Forest Regressor	9.4871	206.542	14.3716	0.7902	0.4262	0.7121	0.59
lightgbm	Light Gradient Boosting Machine	10.7435	227.3476	15.0781	0.769	0.4735	0.8987	0.18
gbr	Gradient Boosting Regressor	15.555	422.745	20.5608	0.5705	0.6523	1.5233	0.32
ridge	Ridge Regression	21.5433	792.001	28.1425	0.1954	0.769	2.4919	0.01
lr	Linear Regression	21.569	793.0168	28.1606	0.1943	0.7688	2.4958	0.01
lasso	Lasso Regression	23.0603	889.7139	29.8281	0.0961	0.8095	2.7464	0.01
svm	Support Vector Regression	22.6408	1050.9325	32.4181	-0.0677	0.8689	3.2465	0.67
