index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
et	Extra Trees Regressor	8.5202	179.0663	13.3816	0.8181	0.3797	0.4143	0.46
rf	Random Forest Regressor	9.5702	206.8609	14.3827	0.7898	0.4046	0.54	0.6
lightgbm	Light Gradient Boosting Machine	10.6751	223.1074	14.9368	0.7733	0.4589	0.7953	0.19
gbr	Gradient Boosting Regressor	15.3071	392.4071	19.8093	0.6013	0.6341	1.5617	0.34
ridge	Ridge Regression	20.1358	679.9528	26.0759	0.3092	0.7403	2.1717	0.01
svm	Support Vector Regression	19.9457	841.6042	29.0104	0.145	0.8281	2.9008	0.95
lasso	Lasso Regression	23.1407	857.4044	29.2815	0.1289	0.8076	2.7438	0.01
lr	Linear Regression	3689.49	253298576.0	15915.3564	-257340.4825	1.7669	52.911	0.01
