index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
et	Extra Trees Regressor	8.4354	179.4655	13.3965	0.8235	0.3707	0.3693	0.61
rf	Random Forest Regressor	9.4961	224.5093	14.9836	0.7792	0.4191	0.4674	0.65
lightgbm	Light Gradient Boosting Machine	10.715	253.6637	15.9268	0.7506	0.4698	0.5877	0.15
gbr	Gradient Boosting Regressor	14.9375	406.6404	20.1653	0.6001	0.6084	0.968	0.51
ridge	Ridge Regression	18.0308	573.6394	23.9508	0.4359	0.6498	1.0698	0.03
svm	Support Vector Regression	20.2112	804.3773	28.3615	0.209	0.77	1.5812	1.82
lasso	Lasso Regression	23.7504	879.778	29.6611	0.1349	0.7627	1.5153	0.01
lr	Linear Regression	15947.8564	10413201408.0	102045.0938	-10239891.2162	1.7937	341.9922	0.02
