index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
et	Extra Trees Regressor	10.7978	274.032	16.5539	0.7305	0.5166	0.6876	0.46
lightgbm	Light Gradient Boosting Machine	12.558	322.008	17.9446	0.6834	0.5545	0.7779	0.17
rf	Random Forest Regressor	12.2154	330.2291	18.1722	0.6753	0.5331	0.7261	0.56
gbr	Gradient Boosting Regressor	16.9789	525.5302	22.9244	0.4832	0.6671	1.1854	0.35
ridge	Ridge Regression	23.1782	853.9133	29.2218	0.1603	0.7555	1.499	0.02
lr	Linear Regression	23.1801	854.547	29.2326	0.1597	0.7554	1.4982	0.04
svm	Support Vector Regression	21.371	900.8832	30.0147	0.1141	0.7926	1.6636	0.69
lasso	Lasso Regression	24.6556	939.6497	30.6537	0.076	0.7808	1.5666	0.01
