index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
et	Extra Trees Regressor	8.657	193.5985	13.914	0.8096	0.3945	0.3992	0.49
rf	Random Forest Regressor	9.8271	243.2197	15.5955	0.7608	0.4404	0.5104	0.57
lightgbm	Light Gradient Boosting Machine	11.0247	270.7547	16.4546	0.7338	0.4837	0.6033	0.19
gbr	Gradient Boosting Regressor	15.2878	432.3903	20.794	0.5748	0.6219	1.0153	0.38
ridge	Ridge Regression	19.5812	653.9062	25.5716	0.357	0.694	1.226	0.01
svm	Support Vector Regression	20.3474	822.8293	28.685	0.1909	0.7746	1.5976	1.21
lasso	Lasso Regression	23.9343	887.5381	29.7916	0.1272	0.7643	1.5167	0.01
lr	Linear Regression	1145.3948	103071808.0	10152.4287	-101355.3506	1.2271	28.2934	0.05
