index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
rf	Random Forest Regressor	10.132	233.0702	15.2666	0.7632	0.469	0.9458	0.58
lightgbm	Light Gradient Boosting Machine	11.3554	252.0349	15.8756	0.7439	0.5064	0.9773	0.15
et	Extra Trees Regressor	10.374	264.8608	16.2745	0.7309	0.4573	0.7087	0.5
gbr	Gradient Boosting Regressor	16.6043	484.1128	22.0026	0.5082	0.6802	1.8456	0.29
ridge	Ridge Regression	22.1127	806.5148	28.3992	0.1806	0.7846	2.6801	0.02
lr	Linear Regression	22.1235	807.616	28.4186	0.1795	0.7844	2.6868	0.01
lasso	Lasso Regression	23.6484	905.3921	30.0897	0.0802	0.8202	2.8304	0.01
svm	Support Vector Regression	22.391	1051.6875	32.4297	-0.0685	0.8691	3.2494	0.63
