index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
rf	Random Forest Regressor	10.5422	263.4316	16.2306	0.741	0.4689	0.578	0.56
et	Extra Trees Regressor	10.254	266.5052	16.325	0.7379	0.4661	0.5455	0.48
lightgbm	Light Gradient Boosting Machine	11.8558	310.0433	17.608	0.6951	0.5151	0.6567	0.23
gbr	Gradient Boosting Regressor	16.316	488.872	22.1104	0.5193	0.6422	1.0637	0.25
ridge	Ridge Regression	23.3586	868.7062	29.4738	0.1458	0.7538	1.4939	0.04
lr	Linear Regression	23.3618	869.2663	29.4833	0.1452	0.7537	1.4935	0.0
svm	Support Vector Regression	21.2758	890.3061	29.838	0.1245	0.7893	1.6492	0.58
lasso	Lasso Regression	24.9219	947.2366	30.7772	0.0685	0.7807	1.5621	0.02
