index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
et	Extra Trees Regressor	8.4081	173.8835	13.1865	0.8233	0.3814	0.443	0.57
rf	Random Forest Regressor	9.0101	185.9433	13.6361	0.8111	0.4049	0.6588	0.64
lightgbm	Light Gradient Boosting Machine	10.0336	193.507	13.9107	0.8034	0.4391	0.8573	0.25
gbr	Gradient Boosting Regressor	15.0366	384.4173	19.6066	0.6094	0.636	1.6081	0.44
ridge	Ridge Regression	19.4745	642.7682	25.3529	0.347	0.7183	2.0111	0.02
svm	Support Vector Regression	19.4504	798.4423	28.2567	0.1888	0.814	2.8085	1.35
lasso	Lasso Regression	22.5609	828.3678	28.7814	0.1584	0.802	2.6957	0.01
lr	Linear Regression	8624.8701	1761800192.0	41973.8047	-1789919.4591	1.9728	1764.2402	0.02
