index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
et	Extra Trees Regressor	9.1789	203.5672	14.2677	0.7932	0.4177	0.5744	0.49
rf	Random Forest Regressor	9.4911	206.417	14.3672	0.7903	0.4251	0.7098	0.58
lightgbm	Light Gradient Boosting Machine	10.508	222.1319	14.9041	0.7743	0.4693	0.8811	0.17
gbr	Gradient Boosting Regressor	15.555	422.745	20.5608	0.5705	0.6523	1.5233	0.32
ridge	Ridge Regression	21.5431	791.9602	28.1418	0.1954	0.769	2.492	0.02
lr	Linear Regression	21.5644	792.9236	28.1589	0.1944	0.7688	2.4936	0.01
svm	Support Vector Regression	19.9766	838.9917	28.9654	0.1476	0.8226	2.8755	0.67
lasso	Lasso Regression	22.9417	870.6405	29.5066	0.1155	0.8103	2.7562	0.01
