index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
et	Extra Trees Regressor	8.6105	182.16	13.4967	0.8209	0.4101	0.4432	0.48
rf	Random Forest Regressor	10.6359	265.7914	16.3031	0.7386	0.4743	0.6323	0.6
lightgbm	Light Gradient Boosting Machine	11.4437	285.3471	16.8922	0.7194	0.5033	0.6793	0.22
gbr	Gradient Boosting Regressor	15.5306	448.1933	21.1706	0.5593	0.6209	1.0315	0.44
ridge	Ridge Regression	20.8232	723.7231	26.9021	0.2883	0.7192	1.3281	0.01
lr	Linear Regression	20.9871	735.8951	27.1274	0.2764	0.7156	1.3328	0.03
svm	Support Vector Regression	20.7635	848.2827	29.1253	0.1658	0.7799	1.6141	1.1
lasso	Lasso Regression	24.0426	893.3506	29.889	0.1215	0.7657	1.5159	0.02
