index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
et	Extra Trees Regressor	8.9145	216.1039	14.7005	0.7875	0.4237	0.4606	0.47
rf	Random Forest Regressor	9.6511	230.8526	15.1938	0.773	0.4277	0.4859	0.56
lightgbm	Light Gradient Boosting Machine	11.1735	268.9487	16.3997	0.7355	0.4843	0.5945	0.19
gbr	Gradient Boosting Regressor	15.389	433.9059	20.8304	0.5733	0.6176	1.0045	0.32
lr	Linear Regression	21.0393	733.8934	27.0905	0.2783	0.7198	1.3273	0.02
ridge	Ridge Regression	21.0529	734.3802	27.0994	0.2778	0.7194	1.3311	0.01
lasso	Lasso Regression	23.9898	895.3492	29.9224	0.1196	0.7641	1.5126	0.01
svm	Support Vector Regression	23.6896	1090.39	33.0211	-0.0722	0.83	1.8101	0.88
