index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
et	Extra Trees Regressor	9.1173	201.5132	14.1955	0.7953	0.4146	0.5925	0.47
rf	Random Forest Regressor	9.4396	204.2135	14.2903	0.7925	0.428	0.7244	0.59
lightgbm	Light Gradient Boosting Machine	10.6109	218.9354	14.7965	0.7776	0.4672	0.8513	0.3
gbr	Gradient Boosting Regressor	15.6103	428.4067	20.698	0.5648	0.6561	1.5264	0.31
ridge	Ridge Regression	21.5436	790.6574	28.1186	0.1967	0.7701	2.4834	0.01
lr	Linear Regression	21.5647	791.6056	28.1355	0.1958	0.7698	2.4849	0.01
svm	Support Vector Regression	19.9849	839.2148	28.9692	0.1474	0.8226	2.8766	0.66
lasso	Lasso Regression	22.9607	871.2433	29.5168	0.1149	0.8121	2.7571	0.01
