index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
et	Extra Trees Regressor	16.7032	563.7732	23.7439	0.4495	0.7267	3.163	0.6
rf	Random Forest Regressor	17.6041	577.6975	24.0353	0.4359	0.7433	3.4051	0.87
lightgbm	Light Gradient Boosting Machine	18.6174	594.4381	24.3811	0.4196	0.7519	2.9155	0.21
gbr	Gradient Boosting Regressor	22.281	765.4438	27.6667	0.2526	0.8339	3.4646	0.87
lr	Linear Regression	25.2366	985.9357	31.3996	0.0373	0.903	4.0839	0.01
ridge	Ridge Regression	25.2386	985.9362	31.3996	0.0373	0.9032	4.0859	0.0
lasso	Lasso Regression	25.8631	1013.7168	31.8389	0.0102	0.9115	4.4967	0.01
svm	Support Vector Regression	23.5253	1025.9028	32.0297	-0.0017	0.9301	4.9299	3.41
