index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
et	Extra Trees Regressor	8.2629	164.8757	12.8404	0.8325	0.3746	0.4491	0.62
rf	Random Forest Regressor	9.6023	198.7196	14.0968	0.7981	0.4769	0.8867	0.75
lightgbm	Light Gradient Boosting Machine	10.373	204.9698	14.3168	0.7918	0.5021	1.0687	0.2
gbr	Gradient Boosting Regressor	14.8443	387.6695	19.6893	0.6061	0.6467	1.6624	0.59
ridge	Ridge Regression	19.0497	611.8893	24.7364	0.3783	0.7087	1.91	0.01
lr	Linear Regression	19.7008	649.956	25.4942	0.3397	0.7168	1.9284	0.19
svm	Support Vector Regression	19.5329	803.4912	28.3459	0.1837	0.8149	2.7935	1.79
lasso	Lasso Regression	22.4422	831.8258	28.8414	0.1549	0.8033	2.7462	0.02
