index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
et	Extra Trees Regressor	8.3307	166.9816	12.9221	0.8304	0.3747	0.3996	0.45
rf	Random Forest Regressor	9.4378	202.4953	14.2301	0.7943	0.4029	0.5827	0.6
lightgbm	Light Gradient Boosting Machine	10.5424	218.7104	14.7889	0.7778	0.4448	0.7987	0.21
gbr	Gradient Boosting Regressor	15.117	396.7591	19.9188	0.5969	0.6404	1.6056	0.37
ridge	Ridge Regression	20.2957	683.8036	26.1496	0.3053	0.736	2.1252	0.02
lr	Linear Regression	20.4251	688.7519	26.2441	0.3003	0.7362	2.1172	0.01
lasso	Lasso Regression	22.8872	853.1422	29.2086	0.1332	0.8005	2.6328	0.02
svm	Support Vector Regression	22.7918	1051.2395	32.4228	-0.068	0.8686	3.1631	1.07
