index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
rf	Random Forest Regressor	13.0597	408.8334	20.1779	0.6032	0.5439	1.1639	1.435
et	Extra Trees Regressor	13.1823	493.6103	22.1591	0.5212	0.5665	1.0702	1.659
lightgbm	Light Gradient Boosting Machine	16.4082	507.1188	22.5041	0.5081	0.6367	1.677	0.059
gbr	Gradient Boosting Regressor	21.0566	731.3402	27.0267	0.2909	0.766	2.5675	0.357
dummy	Dummy Regressor	25.9732	1032.2711	32.1119	-0.0007	0.8655	4.3553	0.016
