index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
rf	Random Forest Regressor	15.7356	524.8901	22.8925	0.4926	0.5957	1.2556	1.665
lightgbm	Light Gradient Boosting Machine	17.3741	554.8489	23.5419	0.4646	0.6531	1.7101	0.058
et	Extra Trees Regressor	16.2825	587.7803	24.231	0.4321	0.6262	1.1984	1.981
gbr	Gradient Boosting Regressor	20.9612	719.5389	26.8099	0.306	0.7553	2.386	0.341
dummy	Dummy Regressor	26.0313	1038.1632	32.2029	-0.0006	0.8658	4.5035	0.017
