index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
et	Extra Trees Regressor	12.3254	356.5449	18.8497	0.6352	0.5142	0.7981	3.718
rf	Random Forest Regressor	13.4014	364.9894	19.089	0.6267	0.5382	0.9948	6.65
lightgbm	Light Gradient Boosting Machine	14.4237	385.1152	19.6102	0.6063	0.5707	1.0832	0.312
gbr	Gradient Boosting Regressor	18.8364	565.0809	23.7696	0.4227	0.7014	1.7272	1.589
dummy	Dummy Regressor	25.9574	981.0064	31.3179	-0.0015	0.8669	3.9648	0.015
