index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
rf	Random Forest Regressor	16.1526	544.6103	23.3216	0.4706	0.6119	1.502	0.595
lightgbm	Light Gradient Boosting Machine	18.118	591.7845	24.3141	0.4252	0.6765	1.877	0.044
et	Extra Trees Regressor	16.6351	610.664	24.6996	0.4065	0.6443	1.38	0.597
gbr	Gradient Boosting Regressor	21.6914	771.2939	27.7531	0.2524	0.7658	2.4572	0.202
dummy	Dummy Regressor	25.9732	1032.2711	32.1119	-0.0007	0.8655	4.3553	0.015
