index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
rf	Random Forest Regressor	12.3745	367.8435	19.1252	0.6465	0.5161	1.0653	1.582
et	Extra Trees Regressor	11.3898	391.8882	19.7003	0.6242	0.4942	0.874	1.785
lightgbm	Light Gradient Boosting Machine	15.3273	457.836	21.378	0.5597	0.6065	1.4215	0.059
gbr	Gradient Boosting Regressor	19.9502	663.0158	25.7329	0.3624	0.7382	2.2836	0.381
dummy	Dummy Regressor	26.0978	1040.7837	32.245	-0.0007	0.8675	4.5114	0.016
