index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
rf	Random Forest Regressor	12.6839	388.0223	19.6743	0.6256	0.5222	0.9996	0.903
et	Extra Trees Regressor	12.3973	423.9372	20.5688	0.5907	0.5419	0.8653	0.986
lightgbm	Light Gradient Boosting Machine	15.6963	471.1674	21.6908	0.5461	0.6169	1.4333	0.037
gbr	Gradient Boosting Regressor	20.2602	683.3181	26.123	0.3423	0.7398	2.2227	0.218
dummy	Dummy Regressor	26.0556	1039.6152	32.2255	-0.0008	0.8688	4.5145	0.015
