index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
rf	Random Forest Regressor	12.975	403.6601	20.057	0.6126	0.5322	1.1371	0.542
et	Extra Trees Regressor	13.2622	501.3796	22.3281	0.519	0.5651	1.0546	0.491
lightgbm	Light Gradient Boosting Machine	16.2705	502.9128	22.4154	0.517	0.6354	1.6695	0.045
gbr	Gradient Boosting Regressor	20.8023	721.79	26.8526	0.3072	0.7574	2.4388	0.156
dummy	Dummy Regressor	26.1206	1043.2241	32.2827	-0.001	0.8693	4.4432	0.016
