index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
rf	Random Forest Regressor	14.8108	472.0881	21.6976	0.5448	0.5737	1.2055	1.071
et	Extra Trees Regressor	14.5452	503.187	22.4006	0.5148	0.58	0.9611	1.199
lightgbm	Light Gradient Boosting Machine	16.743	518.9269	22.7582	0.5001	0.6314	1.5159	0.057
gbr	Gradient Boosting Regressor	20.3642	690.2717	26.2529	0.336	0.735	2.1962	0.386
dummy	Dummy Regressor	26.0632	1040.0843	32.2317	-0.0009	0.8694	4.5153	0.015
